RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Muntean1989,9,45,8,53
Harper1991,14,44,13,49
Albert1992,4,16,5,16
Baudo1992,1,13,5,16
Fourrier1993,7,17,9,18
Langely1993,11,13,9,12
Diaz1994,7,20,5,16
Balk1995,4,17,2,17
Palareti1995,6,30,9,29
Smith1996,7,43,6,40
Inthorn1997,13,20,16,20
Schuster1997,9,22,10,23
Baudo1998,30,60,32,60
Eisele1998,5,20,9,22
Haire1998,9,24,14,25
Schmidt1998,7,61,3,61
Waydhas1998,8,20,4,20
Maki2000,0,74,0,72
Schorr2000,6,24,6,26
Grenander2001,1,13,0,15
Warren2001,536,1157,561,1157
Fulia2003,1,30,2,30
Kobayashi2003,0,14,0,15
Mitchell2003,0,25,0,60
Vorobyeva2007,5,12,9,26
Lavrentieva2008,0,15,4,16
Neporada2008,12,28,8,15
Nishayama2011,2,8,3,8
Gando2013,6,30,5,30
