RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
van8,55,765,85,783
van9,214,595,228,605
Arabi10,72,266,83,257
Brunkhorst11,98,247,102,288
de12,102,254,96,250
Devos13,107,550,89,551
Nice18,829,3010,751,3012
Azevedo22,38,168,42,169
Bilotta23,5,48,6,49
Bilotta24,6,40,7,38
Bland25,1,5,2,5
Bruno26,2,31,0,15
Farah27,22,41,22,48
Grey28,4,34,6,27
He29,7,150,6,38
He30,16,58,29,64
Henderson31,5,32,7,35
Lapichino32,15,45,12,45
MacKenzie33,39,121,47,119
McMullin34,6,11,4,9
Mitchell35,9,35,3,35
Oksanen36,13,39,18,51
Walters37,1,13,0,12
Wang38,7,58,26,58
Yu39,4,28,4,27
Zhang40,4,168,6,170
