RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Gottschlich1990,2,17,6,14
Brown1994,3,19,10,18
Moore1994,9,51,10,47
Bower1995,86,147,90,132
Kudsk1996,5,16,11,17
Engel1997,6,18,5,18
Mendez1997,19,22,12,21
Rodrigo1997,5,16,3,14
Saffle1997,20,25,20,24
Houdijk1998,8,35,21,37
Weiman1998,10,16,6,13
Gadek1999,30,70,47,76
Jones1999,0,26,5,24
Galban2000,39,89,44,87
Conejero2002,11,47,17,37
Garrel2003,3,19,7,22
Hall2003,35,179,44,184
Zhou2003,2,20,6,20
Kieft2005,130,302,123,295
Tsuei2005,8,13,6,11
Pontes2006,6,55,11,48
Wibbenmeyer2006,9,12,7,11
