RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
McMurray1948,0,16,2,17
Zetterstrom1981,0,15,1,15
Goslinga1992,25,148,32,152
Greenough1993,6,20,4,20
Tomita1994,0,8,1,10
Boldt1995,3,15,2,15
Boldt1995,5,15,5,15
Boldt1996,4,15,3,15
Boldt1996,5,15,4,15
Boldt1996,2,14,1,14
Boldt1996,4,14,5,14
Boldt1996,6,14,8,28
Boldt1996,3,14,3,14
Boldt1996,7,14,6,14
Boldt1998,14,75,10,75
Boldt1998,25,75,21,75
Gentilini1999,1,63,0,63
Sort1999,14,63,26,63
Fernandez2005,0,10,1,10
Palumbo2006,3,10,4,10
