RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Aerdts32,1,28,13,60
Barret34,4,11,2,12
Bion36,2,27,1,32
Blair37,7,161,19,170
Brun39,8,65,6,68
Cockerill42,3,75,9,75
de43,19,58,17,59
Ferrer44,6,51,8,50
Finch45,2,24,6,25
Gaussorgues48,5,59,14,59
Georges49,6,31,8,33
Hammond50,8,162,9,160
Hellinger51,2,37,1,43
Jacobs52,6,45,6,46
Kerver53,15,49,27,47
Krueger55,14,273,36,273
Laggner56,3,33,1,34
Palomar59,2,59,1,55
Quinio62,13,76,13,72
Rocha64,3,47,10,54
Rodriguez65,0,14,2,17
Rolando66,2,49,1,52
Rolando67,2,47,8,61
Ruza68,17,116,15,110
Stoutenbeek72,9,49,11,42
Stoutenbeek72,31,201,31,200
Tetteroo73,1,56,1,58
Ulrich74,25,55,30,57
Verwaest76,21,220,29,220
Verwaest76,37,220,29,220
Wiener77,7,30,8,31
Zobel79,1,25,3,25
