RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Lowe1977,3,77,4,94
Shah1977,2,9,3,11
Jelenko1978,1,7,1,5
Lucas1978,7,27,0,27
Boutros1979,0,7,2,17
Virgilio1979,1,15,1,14
Zetterstrom1981,0,15,1,15
Zetterstrom1981,2,9,0,9
Grundmann1982,1,14,0,6
Goodwin1983,11,40,3,39
Rackow1983,6,9,6,8
Shires1983,0,9,0,9
Metildi1984,12,20,12,26
Gallagher1985,0,5,0,5
Prien1990,0,6,0,6
Boldt1993,0,15,0,15
Tollofsrud1995,0,10,0,10
Woittiez1997,8,15,4,16
Evans2003,0,13,0,14
SAFE2004,726,3473,729,3460
Maitland2005,2,56,11,61
Cooper2006,3,19,1,23
Verheij2006,0,18,0,16
Maitland2011,137,1063,135,1063
