RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Rackow1983,5,9,6,8
Prien1990,1,6,0,6
Boldt1993,0,30,0,15
Nagy1993,2,21,2,20
Woittiez1997,13,27,4,16
Younes1998,2,12,3,11
Sirieix1999,0,8,0,8
Boldt2001,0,50,0,25
Dehne2001,0,45,0,15
Lang2001,0,21,0,21
Cifra2003,1,11,3,16
Guo2003,0,20,0,20
Lang2003,0,18,0,18
Moretti2003,0,60,0,30
Fries2004,0,20,0,20
Verheij2006,0,17,0,16
Brunkhorst2008,107,261,93,274
McIntyre2008,9,21,6,19
Du2011,2,21,2,21
James2011,12,58,6,57
Zhu2011,2,45,4,45
Guidet2012,40,99,32,95
Lu2012,7,22,12,20
Myburgh2012,597,3315,566,3336
Perner2012,202,398,173,400
