RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Stoutenbeek1,7,201,21,200
Abele44,0,58,0,30
Aerdts45,0,28,2,60
Blair48,1,161,1,170
de52,2,58,0,59
Ferrer53,0,51,3,50
Flaherty55,0,51,0,56
Gaussorges57,0,59,1,59
Georges58,0,31,0,33
Jacobs60,0,45,0,46
Kerver61,0,49,0,47
Korinek62,0,96,0,95
Lingnau63,5,180,12,177
Luiten64,2,54,10,55
Palomar65,0,50,0,49
Pneumatikos66,0,40,0,39
Rayes68,0,32,0,32
Rocha69,0,47,0,54
Rodriguez70,0,14,0,17
Tetteroo77,0,56,0,58
Ulrich78,1,55,4,57
Unertl79,1,19,0,20
Wiener81,1,30,6,31
Winter82,0,91,1,92
Zobel83,0,25,1,25
