RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Stoutenbeek1,1,201,0,200
Abele44,0,58,0,30
Aerdts45,0,28,1,60
Arnow46,2,48,1,38
Barret47,0,11,1,12
Blair48,1,161,0,170
Cockerill51,1,75,2,75
de52,1,58,0,59
Ferrer53,0,51,1,50
Flaherty55,0,51,0,56
Gaussorges57,0,59,1,59
Georges58,0,31,0,33
Jacobs60,0,45,0,46
Kerver61,0,49,0,47
Palomar65,0,50,0,49
Pneumatikos66,0,40,0,39
Quinio67,0,76,0,72
Rayes68,0,32,0,32
Rocha69,0,47,0,54
Rodriguez70,0,14,0,17
Rolando71,0,49,0,52
Smith75,0,18,1,18
Tetteroo77,0,56,0,58
Ulrich78,0,55,0,57
Verwaest80,0,193,1,185
Verwaest80,0,200,1,185
Wiener81,0,30,2,31
Winter82,0,91,0,92
Zobel83,0,25,1,25
