RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Havig1973,0,24,0,26
Duff1982,0,31,0,43
Warren1983,3,56,9,64
Brown1984,11,18,9,16
Smith1984,7,94,19,93
Cone1985,1,21,2,19
Felisart1985,7,37,11,36
Rasmussen1986,0,29,0,30
Wiecek1986,0,10,0,10
Arich1987,8,25,5,22
Bergeron1988,0,37,1,29
Hoepelman1988,2,45,4,41
Gomez1990,6,39,5,39
Koehler1990,5,73,2,71
Landau1990,4,20,3,20
Mouton1990,14,105,19,106
Thompson1990,2,49,3,47
Finer1992,40,249,21,222
Naime1992,0,15,0,15
Stille1992,3,186,6,151
Trujillo1992,0,16,0,14
Thompson1993,0,80,0,40
Yellin1993,0,56,0,34
Mouton1995,7,116,8,121
Rubinstein1995,31,306,33,274
McCormick1997,13,65,9,63
Sieger1997,13,104,23,107
Jaspers1998,3,39,4,40
SPeich1998,1,44,6,45
Wing1998,0,117,0,62
Alvarez2001,16,69,20,71
