RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Cerra1990,1,11,1,9
Gottschlich1990,2,17,1,14
Daly1992,2,41,0,44
Brown1994,0,19,0,18
Moore1994,1,51,2,47
Bower1995,24,153,12,143
Daly1995,1,30,2,30
Braga1996,0,20,0,20
Kudsk1996,1,16,1,17
Ross1996,20,87,8,83
Schilling1996,0,14,0,14
Engel1997,7,18,5,18
Gianotti1997,1,87,8,87
Mendez1997,1,22,1,21
Rodrigo1997,2,16,1,14
Senkal1997,3,77,2,77
Atkinson1998,95,197,85,193
Weiman1998,2,16,4,13
Braga1999,0,102,1,104
Senkal1999,0,78,0,76
Snyderman1999,0,82,0,47
Galban2000,17,89,28,87
