RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Holter1977,3,17,6,17
Freund1979,1,10,1,10
Thompson1981,2,12,1,9
Muller1982,11,66,19,59
Yamada1983,6,51,7,50
Askanazi1986,1,22,2,13
Jimenez1986,6,60,3,15
Muller1986,17,46,19,59
Sax1987,0,25,0,10
Bellatone1988,8,54,22,46
Figueras1988,4,25,5,24
Meguid1988,4,30,5,26
Fan1989,17,20,15,20
Herndon1989,6,12,3,12
Gys1990,0,29,5,28
Vet1991,49,192,50,203
von1992,6,62,4,60
Hwang1993,0,12,0,16
Hwang1993,0,14,0,16
Brennan1994,27,60,13,57
Fan1994,22,64,33,60
Chiarelli1996,4,29,1,29
