RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Unertl1987,1,19,9,20
Kerver1988,6,49,40,47
Brun1989,3,36,6,50
Hunefeld1989,38,102,55,102
Ulrich1989,7,48,26,52
Rodriguez1990,3,13,11,15
tetteroo1990,1,56,8,58
Aerdts1991,1,17,27,39
Blair1991,12,124,45,131
Pugin1991,4,25,21,27
Zobel1991,1,25,6,25
Cerra1992,12,25,15,21
Cockerill1992,4,75,12,75
Ferrer1992,7,39,10,41
Gastinne1992,26,220,33,225
Hammond1992,8,114,8,125
Jacobs1992,0,36,4,43
Palomar1992,10,48,26,49
Rocha1992,7,47,25,54
Sanchez1992,31,131,60,140
verhaegen1992,22,193,40,185
Verhaegen1992,31,200,40,185
Winter1992,3,91,17,92
Korinek1993,15,63,25,60
Rolando1993,8,28,11,31
Bion1994,0,21,8,31
