RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Godard6,2,101,13,84
Verhaegen10,31,200,40,185
Verhaegen10,22,193,40,185
Cockerill17,4,75,12,75
Gastrinne18,31,220,42,225
Korinek19,20,96,37,95
Rocha20,7,47,25,54
Aerdts21,1,28,29,60
Blair22,12,161,38,170
Cerra23,14,25,23,23
Jacobs24,0,45,4,46
Palomar25,10,48,26,49
Pugin26,4,38,24,41
Ulrich27,7,55,26,57
Unertl28,1,19,9,20
Winter29,3,91,17,92
Sanchez30,31,131,60,140
Brun31,3,65,6,68
Hammond32,25,162,30,160
Kerver33,22,49,44,47
Rodriguez34,1,14,11,17
Ferrer35,9,39,10,41
