RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Lowe1977,3,57,3,84
Shah1977,2,9,3,11
Lucas1978,7,27,0,25
Boutros1979,0,7,2,17
Virgilio1979,1,15,1,14
Zetterstrom1981,0,15,1,15
Zetterstrom1981,2,9,0,9
Grundmann1982,1,14,0,6
Rackow1983,6,9,6,8
Gallagher1985,0,5,0,5
Nielsen1985,0,13,0,13
Prien1990,0,6,0,6
Boldt1993,0,15,0,15
Woods1993,1,37,0,32
Pockaj1994,0,54,0,53
Tollofsrud1995,0,10,1,10
So1997,7,32,5,31
Woittiez1998,8,15,4,16
Oca2003,4,21,1,20
SAFE2004,726,3473,729,3460
Maitland2005,4,23,6,38
Maitland2011,137,1063,135,1063
