RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Tepel2000,1,41,9,42
Allaqaband2002,8,45,6,40
Briguori2002,6,92,10,91
Diaz2002,2,25,13,29
Durham2002,10,38,9,41
Shyu2002,2,60,15,61
Baker2003,2,41,8,39
El2003,3,60,2,60
Kay2003,4,102,12,98
Kefer2003,2,53,3,51
MacNeill2003,1,21,7,22
Oldemeyer2003,4,49,3,47
Balderramo2004,1,33,2,28
Drager2004,1,13,2,11
Fung2004,8,46,6,45
Goldenberg2004,4,41,3,39
Ochoa2004,3,36,11,44
Rashid2004,3,46,3,48
Sinha2004,5,35,6,35
Webb2004,25,220,24,227
Azmus2005,14,196,17,201
Gomes2005,8,77,8,79
Namgung2005,4,25,10,23
Coyle2006,6,68,1,69
Marenzi2006,17,235,39,119
Sandhu2006,3,53,0,53
