RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
London1989,1,50,1,50
Berard1995,5,146,4,153
Cittanova1996,9,27,1,20
Kumle1999,0,40,0,20
Schortgen2001,13,65,11,64
Mahmood2007,2,42,3,20
Brunkhorst2008,81,261,51,272
Godet2008,0,32,1,33
McIntyre2008,3,19,1,21
Mukhtar2009,1,20,1,20
Magder2010,1,119,1,118
Vlachou2010,0,12,0,14
Du2011,1,21,0,21
James2011,2,56,3,53
Lee2011,1,53,0,53
BaSES2012,28,117,23,124
Guidet2012,21,100,11,96
Myburgh2012,111,2373,86,2418
Myburgh2012,124,979,110,957
Perner2012,87,398,65,400
