RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Schortgen2001,26,61,20,59
Fernandez2005,1,10,0,10
van2005,2,60,5,60
Godet2008,8,32,6,33
Dolecek2009,0,26,0,30
Protsenko2009,2,15,0,5
Protsenko2009,0,11,0,5
Akech2010,1,34,5,33
Choi2010,1,18,3,18
Dubin2010,2,9,1,11
Heradstveit2010,2,10,0,9
Magder2010,22,119,24,117
James2011,14,56,23,53
Lee2011,3,53,3,53
Shmyrev2011,3,8,1,7
Yang2011,0,26,0,30
Yang2011,0,26,1,25
Yassen2011,2,30,2,15
Akkucuk2012,1,12,2,12
Guidet2012,22,100,23,96
Myburgh2012,1209,2342,1369,2387
Myburgh2012,579,967,543,948
Perner2012,206,362,203,366
