RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Tian2,2,20,5,20
Griffiths1997,18,42,25,42
Powell1999,14,83,20,85
Andrews2000,88,250,80,252
Cai2000,17,55,20,55
Cekman2000,3,15,6,15
Dechelotte2000,2,58,2,56
Duska2000,2,10,0,10
Eroglu2000,1,20,1,20
Estivariz2000,1,32,6,31
Grau2000,9,59,13,68
Luo2000,0,11,0,9
Ozgultekin2000,12,20,12,20
Palmese2000,6,42,8,42
Sahin2000,2,20,6,20
Wernerman2000,8,205,11,208
Ziegler2000,11,75,13,75
Wischmeyer2001,1,12,4,14
Fuentes2004,2,17,3,16
Xian2004,0,20,3,21
Fuentes2008,2,22,5,22
Perez2008,3,15,0,15
yang2008,1,25,3,25
Perez2010,4,23,2,20
