RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Diehl1982,0,33,0,27
Rackow1983,6,9,5,9
Shatney1983,3,16,3,16
Kirklin1984,0,15,0,15
Gallagher1985,0,5,0,5
Munsch1988,0,20,0,20
London1989,1,44,2,50
Rackow1989,5,10,5,10
Gold1990,0,20,0,20
Prien1990,0,6,1,6
Rosencher1992,0,16,0,16
Boldt1993,0,15,0,30
Mastroianni1994,0,18,0,16
Boldt1995,6,30,5,30
Brock1995,0,7,0,14
Boldt1996,9,30,7,30
Boldt1996,2,15,1,15
Boldt1996,10,28,9,28
Brutocao1996,0,18,0,20
Woittiez1997,8,15,13,27
Boldt1998,39,150,31,150
Veneman2004,8,15,18,30
Niemi2006,0,15,0,15
Verheij2006,0,18,0,17
Standl2008,1,41,0,41
Dolecek2009,4,30,6,26
Hecht2009,0,78,0,78
Mukhtar2009,1,20,1,20
Schramko2009,0,15,0,30
Gondos2010,12,50,15,50
Yang2011,0,30,0,26
