RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Clifton1992,1,5,1,5
Clifton1993,8,23,8,22
Shiozaki1993,8,16,14,17
Hirayama1994,4,12,5,10
Marion1997,9,39,10,42
Shiozaki1999,0,8,0,8
Aibiki2000,1,15,3,11
Jiang2000,11,43,20,44
Zhang2000,41,123,50,123
Clifton2001,53,190,48,178
Shiozaki2001,8,45,6,46
Yan2001,13,24,16,20
Biswas2002,3,8,0,6
Hashiguchi2003,1,9,0,8
Meissner2003,3,15,3,13
Adelson2005,4,25,4,25
Adelson2005,3,14,3,13
Smrcka2005,5,35,11,37
Qiu2007,9,40,13,40
Hutchinson2008,23,102,14,103
Harris2009,6,12,4,13
