RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Clifton1992,1,5,2,5
Clifton1993,11,23,14,22
Shiozaki1993,10,16,16,17
Hirayama1994,4,12,7,10
Marion1997,15,39,26,42
Shiozaki1999,2,8,1,8
Aibiki2000,3,15,7,11
Jiang2000,23,43,32,44
Zhang2000,41,123,50,123
Clifton2001,108,190,102,178
Shiozaki2001,24,45,19,46
Yan2001,13,24,16,20
Biswas2002,3,8,0,6
Hashiguchi2003,3,9,1,8
Meissner2003,3,15,3,13
Adelson2005,4,25,4,25
Adelson2005,3,14,3,13
Smrcka2005,5,35,19,37
Qiu2007,9,40,13,40
Hutchinson2008,32,102,23,103
Harris2009,6,12,4,13
