RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
MacDougall1977,1,26,21,36
Halloran1980,5,26,18,24
Basso1981,0,60,8,56
Zinner1981,14,100,20,100
Friedman1982,1,11,5,14
Peura1985,1,21,7,18
Van1985,5,14,1,14
Groll1986,6,114,11,107
Karlstadt1990,1,54,7,33
Reusser1990,0,19,0,21
Ruis1991,2,19,1,30
Apte1992,5,16,6,18
Martin1993,9,65,22,66
Metz1993,3,86,15,81
Powell1993,0,20,0,10
Powell21993,0,10,0,10
Ben1994,5,100,6,100
Burgess1995,0,16,5,18
Hanish1998,3,57,2,57
Darlong2003,3,24,4,7
Kantorova2004,1,72,1,75
KantorovaB2004,2,71,1,75
