RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Malay1999,0,5,2,5
Kirov2001,5,10,7,10
Memis2002,4,15,4,15
Dunser2003,17,24,17,24
Morales2003,0,17,1,16
Levin2004,0,28,6,28
Albanese2005,5,10,4,10
Ozal2005,0,50,2,50
Lauzier2006,3,13,3,10
Luckner2006,8,10,7,8
Maslow2006,0,15,0,15
Morelli2008,12,20,14,20
Russell2008,177,405,194,395
Morelli2009,15,30,10,15
Hasija2010,0,15,0,32
Papadopoulos2010,0,25,3,25
Cohn2011,13,38,11,40
Svoboda2012,12,15,16,17
Hua2013,7,16,8,16
Okamoto2014,0,49,0,47
