RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Jones1,12,26,10,24
Powell2,14,83,20,85
Conejero3,14,43,9,33
Goeters4,11,33,21,35
Griffiths5,18,42,28,42
Ockenga6,0,14,1,14
Hall7,27,179,30,184
Fuentes8,2,17,3,16
Xian9,0,20,3,21
Kumar10,8,63,5,57
Sahin11,2,20,6,20
Cai12,17,55,20,55
Duska13,2,10,1,10
Eroglu14,1,20,1,20
Estivariz14,1,30,5,29
Fuentes15,22,22,5,22
Perez16,3,15,0,15
Perez18,4,23,3,20
Andrews19,115,250,106,252
Cekmen20,3,15,6,15
Schneider21,6,29,6,29
Heyland22,124,303,108,302
Zhao23,3,40,2,40
Perez24,4,71,5,71
