RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Still1995,2,19,2,21
Gabriel1998,6,11,5,10
Corwin1999,24,80,21,80
Van2000,5,12,7,12
Corwin2002,111,650,120,652
El2005,12,30,17,30
Georgopoulos2005,15,100,7,48
Silver2006,5,42,10,44
Corwin2007,62,733,83,727
Springborg2007,4,24,2,30
Binbrek2009,1,115,2,121
Liem2009,0,26,0,25
Tseng2009,4,40,5,40
Endre2010,9,84,13,78
Kateros2010,0,38,0,41
Lakic2010,0,10,0,10
Nirula2010,2,11,0,5
oTT2010,1,68,2,70
tANIGUCHI2010,0,17,0,18
Ferrario2011,0,15,0,15
LUDMAN2011,0,26,1,25
Najjar2011,1,125,0,97
Suh2011,0,29,0,28
Abrishamakar2012,2,27,2,27
De2012,3,40,2,40
Gerasimov2012,10,42,14,36
Luchette2012,0,96,0,92
pRUNIER2012,1,57,2,53
Robertson2014,13,102,18,98
Aloizos2015,2,24,4,18
Nichol2015,29,305,44,298
Voors20108,8,263,19,266
