RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Schumer1976,9,86,33,86
Sprung1984,33,43,11,16
Bone1987,65,191,48,190
VASSCSG1987,23,112,24,111
Luce1988,22,38,20,37
Bollaert1998,7,22,12,19
Briegel1999,3,20,4,20
Chawla1999,6,23,10,21
Annane2002,82,151,91,149
Yildiz2002,8,20,12,20
Confalonieri2005,0,23,6,23
Oppert2005,10,23,11,25
Tandan2005,11,14,13,14
Rinaldi2006,6,26,7,26
Cicarelli2007,7,14,12,15
Meduri2007,10,42,8,19
Sprung2008,86,251,78,248
Hu2009,4,38,6,39
Snijders2010,6,104,6,109
Arabi2011,33,39,26,36
Meijvis2011,9,151,11,153
Sabry2011,2,40,6,40
Yildiz2011,16,27,15,28
Liu2012,3,12,6,14
Rezk2013,0,18,3,9
Gordon2014,7,31,7,30
Torres2015,6,59,9,61
