RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Fourrier1993,0,14,1,18
Inthorn1997,0,20,0,20
Eisele1998,0,20,3,22
Abreaham2001,33,141,19,69
Bernard2001,4,90,2,41
KyberSept2001,255,1161,148,1155
Prowess2001,30,850,17,840
OPtimist2003,235,963,193,992
Hsu2004,2,25,6,25
ADDRESS2005,90,1317,44,1293
Zhang2006,0,11,0,11
Hetrase2009,3,158,2,159
Zhao2009,2,37,0,42
Captivate2011,132,955,108,914
Morris2012,9,15,0,3
PROWESS2012,82,833,48,833
APROCCHSS2013,26,208,29,203
Gando2013,3,30,2,30
Vincent2013,19,374,17,370
Baudo19986,5,49,6,51
