RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Fourrier1993,4,14,9,18
Inthorn1997,13,20,16,20
Baudo1998,27,49,28,51
Eisele1998,5,20,9,22
Schorr2000,6,24,6,26
Abraham2001,43,141,26,69
Bernard2001,26,90,14,41
KyberSept2001,450,1157,448,1157
OPTIMIST2003,311,963,323,992
Hsu2004,6,25,9,25
Address2005,243,1316,220,1297
Ai2005,9,22,9,18
Gonano2006,5,17,5,16
Zhang2006,8,11,8,11
HETRASE2009,22,158,25,159
Zhang2009,6,37,14,42
Captivate2011,216,1184,164,918
Prowess2011,210,850,259,840
Morris2012,1,15,0,3
Prowess2012,223,846,202,834
Aprocchs2013,99,208,94,203
Gando2013,3,30,4,30
Vincent2013,66,371,80,370
Liu2014,7,22,6,15
